national_tmed,national_tmin,national_tmax
10.8717963,6.338223614,15.39881528
10.83837385,6.049210591,15.64529038
10.75536633,6.357785272,15.12891498
9.695417403,6.118935285,13.29749485
10.83047846,7.050447106,14.61964774
10.64923256,5.474530903,15.80266634
11.11198805,6.223678872,15.99109265
8.081987964,3.781739942,12.38806203
7.901506312,2.207022398,13.58582942
6.988438296,3.267787553,10.71336861
10.40154923,7.02682308,13.78170182
10.07785096,5.057458978,15.08505782
10.89606456,5.967459561,15.82777188
10.95915902,6.126759492,15.78181028
10.96692734,5.216299615,16.68676319
10.04981646,5.078350683,15.02385871
11.20310118,5.243108905,17.17497992
12.69049752,6.617416151,18.75538012
12.54674543,8.421634202,16.69855227
11.08717743,6.559215806,15.60485501
11.15397527,6.46419207,15.84289408
10.94535732,7.073276248,14.81248014
11.16518651,5.384543824,16.93064894
12.10969003,6.130454236,18.08524794
9.486279618,5.088916863,13.88757571
14.24574575,9.40041977,19.09902696
14.07457837,8.337749278,19.8214599
15.13679644,8.544972999,21.74238674
17.08593376,9.354162768,24.81732558
17.95237996,9.972340912,25.93628997
10.06237585,6.425545292,13.74686787
12.49257249,7.621015428,17.3768872
13.12899271,7.285866298,18.96752057
13.0027718,6.892369007,19.12306807
13.04642784,7.045003461,19.026737
14.47298135,8.360652056,20.57392394
11.914215,7.416435814,16.39498192
9.833968603,5.145232583,14.53413518
7.153004176,2.938350709,11.38488937
6.870885953,2.195966163,11.54429567
11.5406399,7.381398078,15.70845856
12.86968579,6.838145111,18.89962247
14.43405338,7.43529894,21.44932501
14.89305344,8.459363326,21.35442248
14.22736875,8.782688068,19.64776084
12.88201363,5.411447339,20.34450452
14.10240562,7.537502324,20.66813962
13.21056711,7.204963859,19.22587798
13.67332209,6.834530538,20.49348958
14.35198533,7.308849156,21.37313932
15.74021457,8.600086663,22.88941008
16.75549091,9.175139206,24.33285182
16.92860486,9.329135072,24.50601086
17.52363277,10.36269748,24.69983499
17.61451727,11.69977065,23.53388174
17.55987346,10.5370041,24.60162625
17.49983598,11.11535995,23.88072336
14.86512961,9.681089591,20.04700112
13.41365227,8.049782559,18.80718469
13.09349212,6.493965853,19.69431773
16.66227242,9.640688195,23.68251138
15.59085926,10.42907778,20.75006951
12.89460303,8.220624191,17.60284489
10.49725234,6.068777828,14.93192356
10.35450824,5.475217976,15.25948659
12.56230166,5.993223108,19.12267695
15.01784156,8.490824875,21.56688353
16.39077357,9.92351354,22.89221286
17.48274923,11.02091359,23.9362223
16.39510455,10.9922813,21.81058509
18.33525963,11.04083889,25.64297117
17.84172366,11.76455696,23.90738996
17.05389948,12.18928915,21.91834757
15.76538983,11.82062436,19.69775849
16.01120487,11.6118517,20.41114097
19.60846567,12.80272179,26.41762663
21.37586278,14.88884107,27.82048077
19.88086292,13.84317268,25.91035276
16.22763679,10.61048768,21.84972846
15.35491056,8.755064018,21.94400644
20.09339146,13.68745328,26.47954704
20.72817755,13.68438608,27.76201133
22.22033293,15.32196451,29.11255007
23.1077279,15.80245058,30.40815482
21.57609524,15.15045805,27.99431951
20.07808882,15.15897586,24.99259508
19.30435356,14.04272192,24.54091899
20.69909591,14.589617,26.7887157
21.64584554,15.41945286,27.86925081
21.98770034,15.86070408,28.09647641
18.41873868,11.85466239,24.97528119
20.06651587,13.48487524,26.64021072
20.35130746,13.63522438,27.07026369
22.20168711,15.66612405,28.73633336
22.02918574,15.97387974,28.07089629
24.99800926,18.37387857,31.59801065
24.9095836,18.27787641,31.55910428
25.57920996,18.54470246,32.6067657
25.98787095,19.08647159,32.89928239
26.54654515,19.79100128,33.29256235
25.76797691,19.12746753,32.40884773
25.72741695,19.21768021,32.25770122
25.88623207,18.86484126,32.90057189
25.80560277,19.255103,32.35146455
25.91017099,19.18044928,32.64955184
24.01041155,17.90236219,30.12256402
22.64266787,17.31638403,28.00218482
21.09290003,16.15226524,26.01627222
18.84696691,13.68067384,24.00191109
17.71430289,12.11067486,23.3175687
22.90837721,15.50183295,30.30894374
24.20504901,16.90145967,31.51766046
23.90156696,17.55420407,30.25617126
22.85393518,17.95935965,27.75361333
22.48154742,17.05298754,27.90229347
23.66577698,17.58251221,29.71981584
24.43244982,17.35673505,31.5164945
26.26797585,18.81437808,33.71856815
27.01770831,20.38889304,33.6674935
26.07406821,20.07840461,32.05511357
26.11688457,19.47495041,32.75039817
26.06536929,19.60856226,32.52290131
24.88354549,19.44396735,30.30397821
23.1115285,17.79795775,28.42365482
22.875171,17.37462885,28.37228773
23.93192471,17.51191888,30.37304194
22.70888229,16.52820271,28.90114701
23.40398534,16.30820398,30.49883617
25.54591371,18.22716721,32.87713067
26.43839517,19.32913198,33.57039891
24.8619129,18.77711664,30.93070582
24.29691179,18.98778592,29.58122481
25.70479126,18.8327856,32.58592178
